email,display_name,name_local,role,role_label,site,region,timezone,status,status_reason,tenant_admin
julie.laurent@decathlon-demo.com,Julie Laurent,Julie Laurent,cashier,Cashier,dec-fr-marseille,FR,Europe/Paris,active,,false
lucas.bonnet@decathlon-demo.com,Lucas Bonnet,Lucas Bonnet,stock_logistics,Stock & Logistics,dec-fr-marseille,FR,Europe/Paris,active,,false
thomas.vincent@decathlon-demo.com,Thomas Vincent,Thomas Vincent,stock_logistics,Stock & Logistics,dec-fr-marseille,FR,Europe/Paris,active,,false
theo.legrand@decathlon-demo.com,Théo Legrand,Théo Legrand,store_lp,Store Loss-Prevention,dec-fr-marseille,FR,Europe/Paris,inactive,on_long_leave,false
leo.roussel@decathlon-demo.com,Léo Roussel,Léo Roussel,store_manager,Store Manager,dec-fr-bordeaux,FR,Europe/Paris,active,,false
manon.guerin@decathlon-demo.com,Manon Guérin,Manon Guérin,assistant_manager,Assistant Store Manager,dec-fr-bordeaux,FR,Europe/Paris,active,,false
lola.moreau@decathlon-demo.com,Lola Moreau,Lola Moreau,department_leader,Department Leader — Running & Footwear,dec-fr-bordeaux,FR,Europe/Paris,active,,false
jade.nicolas@decathlon-demo.com,Jade Nicolas,Jade Nicolas,department_leader,Department Leader — Apparel,dec-fr-bordeaux,FR,Europe/Paris,active,,false
manon.legrand@decathlon-demo.com,Manon Legrand,Manon Legrand,department_leader,Department Leader — Fitness,dec-fr-bordeaux,FR,Europe/Paris,active,,false
lola.rousseau@decathlon-demo.com,Lola Rousseau,Lola Rousseau,sales_associate,Sales Associate,dec-fr-bordeaux,FR,Europe/Paris,active,,false
chloe.nicolas@decathlon-demo.com,Chloé Nicolas,Chloé Nicolas,sales_associate,Sales Associate,dec-fr-bordeaux,FR,Europe/Paris,inactive,terminated,false
maxime.nicolas@decathlon-demo.com,Maxime Nicolas,Maxime Nicolas,sales_associate,Sales Associate,dec-fr-bordeaux,FR,Europe/Paris,active,,false
nathan.henry@decathlon-demo.com,Nathan Henry,Nathan Henry,sales_associate,Sales Associate,dec-fr-bordeaux,FR,Europe/Paris,active,,false
lola.henry@decathlon-demo.com,Lola Henry,Lola Henry,sales_associate,Sales Associate,dec-fr-bordeaux,FR,Europe/Paris,active,,false
pauline.martinez@decathlon-demo.com,Pauline Martinez,Pauline Martinez,sales_associate,Sales Associate,dec-fr-bordeaux,FR,Europe/Paris,inactive,account_locked,false
anais.faure@decathlon-demo.com,Anaïs Faure,Anaïs Faure,cashier,Cashier,dec-fr-bordeaux,FR,Europe/Paris,active,,false
quentin.girard@decathlon-demo.com,Quentin Girard,Quentin Girard,cashier,Cashier,dec-fr-bordeaux,FR,Europe/Paris,inactive,terminated,false
arthur.girard@decathlon-demo.com,Arthur Girard,Arthur Girard,stock_logistics,Stock & Logistics,dec-fr-bordeaux,FR,Europe/Paris,active,,false
theo.lambert@decathlon-demo.com,Théo Lambert,Théo Lambert,stock_logistics,Stock & Logistics,dec-fr-bordeaux,FR,Europe/Paris,active,,false
chloe.morel@decathlon-demo.com,Chloé Morel,Chloé Morel,store_lp,Store Loss-Prevention,dec-fr-bordeaux,FR,Europe/Paris,active,,false
seunghyun.seo@decathlon-demo.com,Seo Seung-hyun,서승현,store_manager,Store Manager,dec-kr-seoul,KR,Asia/Seoul,active,,false
arin.song@decathlon-demo.com,Song A-rin,송아린,assistant_manager,Assistant Store Manager,dec-kr-seoul,KR,Asia/Seoul,active,,false
joowon.ahn@decathlon-demo.com,Ahn Joo-won,안주원,department_leader,Department Leader — Running & Footwear,dec-kr-seoul,KR,Asia/Seoul,active,,false
minseo.kwon@decathlon-demo.com,Kwon Min-seo,권민서,department_leader,Department Leader — Apparel,dec-kr-seoul,KR,Asia/Seoul,active,,false
chaewon.jung@decathlon-demo.com,Jung Chae-won,정채원,department_leader,Department Leader — Fitness,dec-kr-seoul,KR,Asia/Seoul,active,,false
minseo.choi@decathlon-demo.com,Choi Min-seo,최민서,department_leader,Department Leader — Outdoor,dec-kr-seoul,KR,Asia/Seoul,active,,false
daeun.yoon@decathlon-demo.com,Yoon Da-eun,윤다은,sales_associate,Sales Associate,dec-kr-seoul,KR,Asia/Seoul,inactive,terminated,false
minjun.song@decathlon-demo.com,Song Min-jun,송민준,sales_associate,Sales Associate,dec-kr-seoul,KR,Asia/Seoul,active,,false
siwoo.choi@decathlon-demo.com,Choi Si-woo,최시우,sales_associate,Sales Associate,dec-kr-seoul,KR,Asia/Seoul,active,,false
siwoo.jung@decathlon-demo.com,Jung Si-woo,정시우,sales_associate,Sales Associate,dec-kr-seoul,KR,Asia/Seoul,active,,false
woojin.jang@decathlon-demo.com,Jang Woo-jin,장우진,sales_associate,Sales Associate,dec-kr-seoul,KR,Asia/Seoul,active,,false
jimin.kwon@decathlon-demo.com,Kwon Ji-min,권지민,sales_associate,Sales Associate,dec-kr-seoul,KR,Asia/Seoul,active,,false
joowon.hong@decathlon-demo.com,Hong Joo-won,홍주원,sales_associate,Sales Associate,dec-kr-seoul,KR,Asia/Seoul,active,,false
arin.park@decathlon-demo.com,Park A-rin,박아린,sales_associate,Sales Associate,dec-kr-seoul,KR,Asia/Seoul,active,,false
soyul.ahn@decathlon-demo.com,Ahn So-yul,안소율,sales_associate,Sales Associate,dec-kr-seoul,KR,Asia/Seoul,active,,false
yeeun.lim@decathlon-demo.com,Lim Ye-eun,임예은,cashier,Cashier,dec-kr-seoul,KR,Asia/Seoul,active,,false
minseo.jung@decathlon-demo.com,Jung Min-seo,정민서,cashier,Cashier,dec-kr-seoul,KR,Asia/Seoul,active,,false
jiah.han@decathlon-demo.com,Han Ji-ah,한지아,cashier,Cashier,dec-kr-seoul,KR,Asia/Seoul,active,,false
hyunwoo.han@decathlon-demo.com,Han Hyun-woo,한현우,stock_logistics,Stock & Logistics,dec-kr-seoul,KR,Asia/Seoul,active,,false
seonwoo.seo@decathlon-demo.com,Seo Seon-woo,서선우,stock_logistics,Stock & Logistics,dec-kr-seoul,KR,Asia/Seoul,active,,false
junseo.hwang@decathlon-demo.com,Hwang Jun-seo,황준서,stock_logistics,Stock & Logistics,dec-kr-seoul,KR,Asia/Seoul,inactive,deactivated,false
daeun.jung@decathlon-demo.com,Jung Da-eun,정다은,store_lp,Store Loss-Prevention,dec-kr-seoul,KR,Asia/Seoul,active,,false
woojin.ryu@decathlon-demo.com,Ryu Woo-jin,류우진,store_manager,Store Manager,dec-kr-busan,KR,Asia/Seoul,active,,false
arin.kwon@decathlon-demo.com,Kwon A-rin,권아린,assistant_manager,Assistant Store Manager,dec-kr-busan,KR,Asia/Seoul,active,,false
minjun.jung@decathlon-demo.com,Jung Min-jun,정민준,department_leader,Department Leader — Running & Footwear,dec-kr-busan,KR,Asia/Seoul,active,,false
doyoon.hwang@decathlon-demo.com,Hwang Do-yoon,황도윤,department_leader,Department Leader — Apparel,dec-kr-busan,KR,Asia/Seoul,inactive,account_locked,false
jungwoo.seo@decathlon-demo.com,Seo Jung-woo,서정우,department_leader,Department Leader — Fitness,dec-kr-busan,KR,Asia/Seoul,active,,false
junseo.song@decathlon-demo.com,Song Jun-seo,송준서,sales_associate,Sales Associate,dec-kr-busan,KR,Asia/Seoul,active,,false
jungwoo.hwang@decathlon-demo.com,Hwang Jung-woo,황정우,sales_associate,Sales Associate,dec-kr-busan,KR,Asia/Seoul,active,,false
doyoon.yoon@decathlon-demo.com,Yoon Do-yoon,윤도윤,sales_associate,Sales Associate,dec-kr-busan,KR,Asia/Seoul,active,,false
jimin.park@decathlon-demo.com,Park Ji-min,박지민,sales_associate,Sales Associate,dec-kr-busan,KR,Asia/Seoul,active,,false
yeonwoo.choi@decathlon-demo.com,Choi Yeon-woo,최연우,sales_associate,Sales Associate,dec-kr-busan,KR,Asia/Seoul,active,,false
suah.kim@decathlon-demo.com,Kim Su-ah,김수아,sales_associate,Sales Associate,dec-kr-busan,KR,Asia/Seoul,active,,false
seoyeon.lim@decathlon-demo.com,Lim Seo-yeon,임서연,cashier,Cashier,dec-kr-busan,KR,Asia/Seoul,active,,false
yejun.yoon@decathlon-demo.com,Yoon Ye-jun,윤예준,cashier,Cashier,dec-kr-busan,KR,Asia/Seoul,active,,false
subin.kang@decathlon-demo.com,Kang Su-bin,강수빈,stock_logistics,Stock & Logistics,dec-kr-busan,KR,Asia/Seoul,active,,false
yujin.seo@decathlon-demo.com,Seo Yu-jin,서유진,stock_logistics,Stock & Logistics,dec-kr-busan,KR,Asia/Seoul,active,,false
minseo.ryu@decathlon-demo.com,Ryu Min-seo,류민서,store_lp,Store Loss-Prevention,dec-kr-busan,KR,Asia/Seoul,active,,false
